Q1,Q2,Q3,Q4,Q5,Q6_encoded,Avg_EAR,Std_EAR,Avg_MAR,Std_MAR,Positive_Percent,Neutral_Percent,Negative_Percent,Sentiment_Pos,Sentiment_Neu,Sentiment_Neg,Sentiment_Comp
Never,Never,Never,Always,Always,0.16043676564992992,0.3581,0.0121,0.0702,0.0152,27.65,38.44,33.9,0.24,0.76,0.0,0.6961
Always,Always,Often,Never,Rarely,3.4681259844897943,0.2958,0.0112,0.1651,0.0137,12.98,47.37,39.65,0.0,0.71,0.29,-0.8415
Sometimes,Sometimes,Sometimes,Sometimes,Rarely,2.3147016342895737,0.269,0.0244,0.1151,0.0165,20.24,49.66,30.1,0.01,0.99,0.0,0.0351
Sometimes,Rarely,Sometimes,Sometimes,Often,1.7544616767583618,0.3863,0.0299,0.1459,0.0125,34.47,40.08,25.44,0.09,0.91,0.0,0.2508
Sometimes,Often,Sometimes,Rarely,Rarely,2.901030641660546,0.3761,0.0297,0.1638,0.0146,14.97,52.5,32.53,0.1,0.9,0.0,0.2875
Sometimes,Sometimes,Sometimes,Rarely,Rarely,1.9466757656988114,0.3194,0.0154,0.1795,0.0182,25.41,60.34,14.25,0.0,0.81,0.19,-0.5545
Always,Always,Always,Rarely,Rarely,3.4936929523266422,0.289,0.0234,0.114,0.0197,0.0,89.72,10.28,0.0,0.75,0.25,-0.7073
Always,Always,Always,Never,Rarely,3.602807456045034,0.2882,0.0175,0.1921,0.013,0.0,65.46,34.54,0.0,0.65,0.35,-1.0
Sometimes,Rarely,Never,Often,Rarely,1.6868837074938217,0.3309,0.0246,0.1237,0.0139,52.77,12.18,35.04,0.0,0.98,0.02,-0.0688
Never,Rarely,Rarely,Often,Often,1.1073111889402063,0.3193,0.0201,0.1343,0.0105,30.87,49.44,19.69,0.15,0.85,0.0,0.4167
Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,2.369401314373449,0.3389,0.0277,0.1103,0.0153,19.06,49.67,31.27,0.0,0.86,0.14,-0.4004
Always,Always,Often,Rarely,Never,3.649453382466764,0.2259,0.0208,0.1675,0.017,1.9,56.73,41.38,0.0,0.68,0.32,-0.9192
Rarely,Rarely,Rarely,Always,Often,0.8426487560226663,0.2554,0.0205,0.1467,0.0102,38.53,49.43,12.04,0.24,0.76,0.0,0.6802
Sometimes,Sometimes,Often,Rarely,Often,2.491866334253931,0.3364,0.0203,0.0665,0.0111,11.94,59.27,28.79,0.0,0.98,0.02,-0.0523
Sometimes,Sometimes,Sometimes,Sometimes,Rarely,2.526240880370082,0.3202,0.0148,0.1569,0.0119,11.68,56.01,32.31,0.08,0.92,0.0,0.2417
Often,Always,Always,Never,Sometimes,2.932452089661124,0.3308,0.0224,0.1864,0.0154,16.07,47.9,36.04,0.02,0.98,0.0,0.0618
Rarely,Rarely,Never,Often,Often,0.5262707405090392,0.3075,0.0133,0.1464,0.019,34.69,44.43,20.88,0.27,0.73,0.0,0.7614
Often,Often,Often,Rarely,Rarely,2.8632998587283542,0.2678,0.0111,0.1163,0.0175,42.99,4.02,52.99,0.0,0.67,0.33,-0.9564
Sometimes,Always,Always,Never,Rarely,3.636130082662564,0.2951,0.0196,0.1316,0.0195,14.22,47.77,38.01,0.0,0.72,0.28,-0.81
Sometimes,Rarely,Rarely,Often,Always,0.7187324354809679,0.3017,0.0101,0.1253,0.0119,19.98,56.48,23.54,0.23,0.77,0.0,0.6608
Sometimes,Sometimes,Rarely,Often,Often,0.9501732996955106,0.3491,0.018,0.1245,0.0111,38.03,25.88,36.09,0.04,0.96,0.0,0.1164
Always,Always,Often,Rarely,Never,3.8855803761665584,0.2573,0.0298,0.1351,0.0181,0.0,38.97,61.03,0.0,0.76,0.24,-0.6868
Sometimes,Rarely,Rarely,Always,Often,0.7239078108379591,0.3743,0.0171,0.1344,0.0157,0.0,74.47,25.53,0.32,0.68,0.0,0.9074
Often,Often,Often,Sometimes,Rarely,3.4175403734783165,0.2929,0.0216,0.155,0.0122,13.79,86.21,0.0,0.0,0.7,0.3,-0.861
Sometimes,Sometimes,Rarely,Sometimes,Often,1.9691114257921392,0.3616,0.0164,0.1499,0.0149,1.61,56.14,42.25,0.11,0.89,0.0,0.3027
Sometimes,Rarely,Rarely,Often,Always,0.9889242976127082,0.3076,0.0124,0.1169,0.0143,52.21,44.64,3.15,0.26,0.74,0.0,0.7554
Often,Always,Always,Rarely,Never,3.4829996050900456,0.2544,0.0175,0.125,0.0154,0.0,59.51,40.49,0.0,0.73,0.27,-0.7669
Rarely,Rarely,Sometimes,Sometimes,Sometimes,1.781221020010662,0.3015,0.0206,0.1599,0.0129,30.53,45.51,23.96,0.0,0.95,0.05,-0.1289
Sometimes,Rarely,Rarely,Sometimes,Sometimes,2.0592694157187608,0.2649,0.0194,0.1054,0.0196,0.0,54.98,45.02,0.0,0.81,0.19,-0.5451
Sometimes,Rarely,Rarely,Sometimes,Rarely,1.4369334775990628,0.3331,0.0156,0.0583,0.0141,22.44,45.44,32.12,0.19,0.81,0.0,0.538
Often,Often,Sometimes,Rarely,Rarely,2.3718034057397097,0.3251,0.028,0.1708,0.0122,0.0,91.33,8.67,0.27,0.73,0.0,0.778
Never,Rarely,Rarely,Always,Always,0.6540954903400911,0.302,0.0215,0.1057,0.0119,36.7,48.62,14.69,0.23,0.77,0.0,0.6632
Rarely,Rarely,Sometimes,Sometimes,Sometimes,1.5643261466070428,0.2036,0.0108,0.1829,0.0175,32.14,49.94,17.92,0.0,0.97,0.03,-0.0817
Sometimes,Often,Always,Rarely,Never,3.87764928934115,0.2973,0.0152,0.1847,0.0129,0.0,36.34,63.66,0.0,0.67,0.33,-0.9518
Never,Rarely,Rarely,Sometimes,Often,1.0325337308045102,0.3254,0.012,0.1514,0.0155,36.85,60.79,2.36,0.15,0.85,0.0,0.4416
Sometimes,Sometimes,Always,Rarely,Sometimes,2.626946658165169,0.2816,0.0216,0.1608,0.0179,26.37,27.46,46.17,0.0,0.96,0.04,-0.1113
Sometimes,Never,Rarely,Often,Sometimes,1.3007602568987795,0.3334,0.023,0.0676,0.0148,17.83,82.17,0.0,0.32,0.68,0.0,0.9206
Always,Often,Often,Never,Rarely,3.0938925027464026,0.2939,0.029,0.0863,0.0189,0.0,74.75,25.25,0.09,0.91,0.0,0.2635
Sometimes,Rarely,Rarely,Often,Often,0.5234946428733993,0.3711,0.0263,0.1795,0.0139,22.26,72.36,5.38,0.16,0.84,0.0,0.4476
Often,Always,Always,Never,Rarely,3.879284180314179,0.2968,0.0195,0.1817,0.0144,0.0,56.39,43.61,0.0,0.71,0.29,-0.8274
Rarely,Sometimes,Rarely,Sometimes,Often,1.815158165534557,0.2417,0.0294,0.0511,0.0123,16.79,80.79,2.42,0.0,0.83,0.17,-0.4853
Rarely,Rarely,Rarely,Always,Always,0.9442018533858558,0.2278,0.0184,0.1328,0.0142,23.14,75.52,1.34,0.24,0.76,0.0,0.6729
Rarely,Rarely,Never,Often,Always,0.29398698932005063,0.345,0.0185,0.1152,0.018,20.58,79.42,0.0,0.35,0.65,0.0,1.0
Rarely,Rarely,Rarely,Often,Sometimes,0.679031620350163,0.3626,0.0276,0.1779,0.0143,24.64,75.36,0.0,0.18,0.82,0.0,0.5066
Sometimes,Sometimes,Rarely,Sometimes,Sometimes,2.0790957942240706,0.3468,0.0249,0.0917,0.0105,44.95,53.48,1.58,0.09,0.91,0.0,0.2502
Never,Rarely,Sometimes,Often,Sometimes,1.3480127057251452,0.2891,0.0205,0.1236,0.0124,33.72,31.91,34.37,0.03,0.97,0.0,0.0946
Often,Often,Often,Rarely,Rarely,3.315533463530438,0.2594,0.0216,0.1519,0.0168,0.0,70.14,29.86,0.0,0.77,0.23,-0.6563
Sometimes,Often,Always,Sometimes,Often,1.7235500946472238,0.3476,0.0152,0.1578,0.0192,47.6,36.72,15.67,0.0,0.97,0.03,-0.082
Rarely,Sometimes,Rarely,Often,Often,0.9948570903505196,0.3034,0.0256,0.0505,0.0107,21.93,56.01,22.06,0.35,0.65,0.0,1.0
Sometimes,Sometimes,Sometimes,Never,Rarely,2.46857994641612,0.232,0.0142,0.1764,0.0133,4.54,41.46,54.0,0.09,0.91,0.0,0.2463
Often,Often,Often,Rarely,Sometimes,2.8271088675417833,0.3094,0.0282,0.1193,0.0178,1.76,65.49,32.75,0.0,0.76,0.24,-0.6783
Rarely,Sometimes,Rarely,Always,Often,0.6681676316037994,0.3055,0.0221,0.1108,0.0126,32.49,55.24,12.27,0.06,0.94,0.0,0.1823
Rarely,Rarely,Rarely,Always,Always,0.6704768651532707,0.3465,0.0159,0.0849,0.0147,17.94,79.12,2.94,0.2,0.8,0.0,0.5581
Rarely,Never,Never,Always,Often,0.1466857077341719,0.2984,0.0258,0.0976,0.017,33.82,66.18,0.0,0.35,0.65,0.0,1.0
Often,Sometimes,Sometimes,Never,Rarely,2.945608060262562,0.2992,0.02,0.1247,0.019,5.38,29.63,64.98,0.0,0.74,0.26,-0.731
Often,Often,Often,Rarely,Sometimes,2.6552181104872203,0.3146,0.0263,0.1302,0.013,16.31,60.13,23.56,0.0,0.86,0.14,-0.4009
Sometimes,Rarely,Sometimes,Never,Sometimes,1.8985235029992555,0.3073,0.0146,0.1195,0.0105,48.74,19.48,31.78,0.09,0.91,0.0,0.2553
Sometimes,Often,Often,Never,Never,3.3766817958767885,0.2223,0.0271,0.0907,0.015,18.47,41.32,40.21,0.0,0.72,0.28,-0.7877
Often,Always,Often,Never,Rarely,3.2226806118002127,0.3715,0.0178,0.1842,0.0154,15.93,41.66,42.4,0.01,0.99,0.0,0.0408
Sometimes,Often,Rarely,Rarely,Rarely,2.3414174575870086,0.2922,0.0141,0.1175,0.0142,12.54,46.64,40.82,0.0,0.91,0.09,-0.2512
Always,Often,Often,Rarely,Never,3.4730851220530345,0.2729,0.0166,0.1451,0.0155,0.7,23.53,75.78,0.0,0.77,0.23,-0.656
Never,Never,Never,Often,Always,0.823364840147073,0.3276,0.0119,0.1082,0.018,22.93,51.18,25.88,0.35,0.65,0.0,1.0
Rarely,Rarely,Rarely,Always,Often,0.4476784775909115,0.2971,0.0265,0.1272,0.0134,52.5,47.5,0.0,0.0,0.95,0.05,-0.1536
Never,Never,Rarely,Often,Often,1.0789984460679585,0.2628,0.0239,0.1067,0.0125,45.94,54.06,0.0,0.34,0.66,0.0,0.9822
Never,Never,Never,Always,Always,0.2283474243572594,0.363,0.0247,0.162,0.0131,21.15,78.85,0.0,0.08,0.92,0.0,0.231
Sometimes,Sometimes,Sometimes,Often,Often,2.124678112004128,0.3144,0.0237,0.0329,0.0188,22.92,37.44,39.64,0.01,0.99,0.0,0.0369
Often,Often,Always,Rarely,Never,3.746422769179846,0.3101,0.0239,0.1487,0.0101,24.74,29.01,46.25,0.0,0.65,0.35,-1.0
Rarely,Rarely,Rarely,Often,Often,0.1573741626740386,0.2807,0.0252,0.1813,0.0145,33.84,66.16,0.0,0.25,0.75,0.0,0.7197
Never,Rarely,Rarely,Always,Always,0.4884396560401072,0.3197,0.0208,0.1026,0.0177,36.04,59.18,4.78,0.0,0.99,0.01,-0.0204
Rarely,Rarely,Rarely,Often,Sometimes,1.8087961131337411,0.2882,0.0146,0.1407,0.0149,14.69,55.05,30.26,0.04,0.96,0.0,0.1194
Often,Always,Often,Rarely,Sometimes,3.7355000701116197,0.3182,0.0191,0.1903,0.0166,12.74,48.05,39.21,0.0,0.77,0.23,-0.6575
Rarely,Rarely,Rarely,Sometimes,Always,1.264624419907002,0.3192,0.027,0.1535,0.0101,23.17,76.83,0.0,0.0,0.93,0.07,-0.2112
Sometimes,Sometimes,Sometimes,Sometimes,Rarely,2.0289392347535697,0.3048,0.0298,0.0893,0.0189,25.33,42.6,32.07,0.0,0.83,0.17,-0.4812
Rarely,Rarely,Rarely,Always,Always,0.1662914362015684,0.3104,0.021,0.0846,0.0199,41.87,58.13,0.0,0.01,0.99,0.0,0.0234
Never,Never,Rarely,Often,Often,0.5933728038483554,0.3861,0.0181,0.1372,0.0144,14.9,85.1,0.0,0.23,0.77,0.0,0.6585
Always,Always,Always,Never,Never,3.9465204918353876,0.2639,0.0164,0.1577,0.0126,21.95,35.73,42.31,0.0,0.65,0.35,-1.0
Always,Often,Always,Never,Never,3.860474785744182,0.2519,0.0184,0.1417,0.0182,0.0,44.47,55.53,0.0,0.7,0.3,-0.8472
Never,Never,Never,Always,Always,0.019759923737638463,0.3444,0.0298,0.0395,0.0107,23.84,76.16,0.0,0.18,0.82,0.0,0.5152
Always,Always,Always,Never,Never,3.807247141692956,0.2632,0.0112,0.1417,0.012,4.76,36.36,58.88,0.0,0.84,0.16,-0.4487
Rarely,Sometimes,Often,Rarely,Sometimes,2.5564797512620014,0.2886,0.0202,0.1353,0.0191,0.0,83.43,16.57,0.02,0.98,0.0,0.0537
Often,Often,Always,Rarely,Never,3.4716731780800885,0.2276,0.0205,0.1655,0.0109,1.42,41.98,56.6,0.0,0.82,0.18,-0.513
Often,Sometimes,Rarely,Rarely,Sometimes,1.8189594225354364,0.29,0.0207,0.1523,0.0155,6.12,49.39,44.49,0.0,0.84,0.16,-0.4579
Sometimes,Rarely,Sometimes,Sometimes,Rarely,2.062384114317001,0.3162,0.0296,0.0966,0.0135,9.37,67.7,22.93,0.0,0.91,0.09,-0.2565
Often,Sometimes,Sometimes,Sometimes,Sometimes,1.9553863210276807,0.3225,0.012,0.1555,0.0144,24.18,48.23,27.59,0.01,0.99,0.0,0.0424
Often,Often,Often,Rarely,Rarely,2.6674570301844174,0.2977,0.016,0.1106,0.0178,17.71,52.04,30.25,0.0,0.93,0.07,-0.2114
Rarely,Rarely,Sometimes,Often,Always,0.5586050190252516,0.3164,0.02,0.0656,0.0135,27.12,53.57,19.31,0.15,0.85,0.0,0.4395
Never,Never,Rarely,Always,Always,0.11989435949071181,0.2966,0.023,0.1059,0.0136,24.18,75.82,0.0,0.15,0.85,0.0,0.4283
Never,Sometimes,Sometimes,Often,Sometimes,1.2317197663647637,0.2475,0.0229,0.1,0.016,36.43,48.13,15.44,0.0,0.97,0.03,-0.0909
Often,Often,Sometimes,Rarely,Rarely,2.818723050946587,0.3131,0.0164,0.1134,0.0154,7.97,63.05,28.97,0.0,0.84,0.16,-0.4593
Rarely,Rarely,Never,Often,Often,0.8074138084917934,0.2948,0.0238,0.1163,0.0147,33.73,66.27,0.0,0.27,0.73,0.0,0.768
Sometimes,Sometimes,Often,Sometimes,Never,2.6937297332996692,0.2666,0.0242,0.1509,0.0119,0.0,47.15,52.85,0.0,0.83,0.17,-0.4764
Always,Always,Always,Rarely,Never,3.8796481844290818,0.3284,0.0229,0.0858,0.0179,7.15,45.35,47.5,0.0,0.89,0.11,-0.3017
Rarely,Rarely,Never,Always,Always,0.37560286315767355,0.3797,0.025,0.1079,0.0145,39.57,54.59,5.84,0.02,0.98,0.0,0.0457
Sometimes,Always,Often,Sometimes,Sometimes,2.690408472900505,0.2631,0.0171,0.1209,0.0134,33.28,41.7,25.03,0.05,0.95,0.0,0.131
Often,Sometimes,Rarely,Often,Often,1.7750008772182846,0.3435,0.023,0.1034,0.0106,18.23,55.22,26.55,0.13,0.87,0.0,0.3734
Always,Always,Always,Never,Never,3.4725690175100214,0.2568,0.0294,0.1559,0.0166,18.2,36.97,44.83,0.0,0.74,0.26,-0.7331
Never,Never,Never,Always,Always,0.7085991577895436,0.3292,0.0154,0.1596,0.0154,15.34,84.66,0.0,0.25,0.75,0.0,0.7025
Often,Often,Sometimes,Rarely,Never,2.770503808904658,0.2756,0.0195,0.1061,0.0142,20.09,47.49,32.42,0.0,0.97,0.03,-0.0719
Always,Often,Always,Never,Rarely,3.352461158592441,0.2693,0.0213,0.1094,0.016,20.35,21.48,58.17,0.0,0.94,0.06,-0.1609
Often,Always,Always,Rarely,Rarely,3.778456877896093,0.2841,0.0297,0.1691,0.0129,0.0,49.27,50.73,0.0,0.65,0.35,-1.0
Sometimes,Often,Often,Sometimes,Rarely,2.7329921131585833,0.2488,0.0168,0.0899,0.016,0.0,69.11,30.89,0.04,0.96,0.0,0.1189
Sometimes,Sometimes,Rarely,Sometimes,Sometimes,1.9886990560337092,0.3006,0.022,0.172,0.0186,21.35,59.82,18.83,0.08,0.92,0.0,0.2336
Often,Sometimes,Sometimes,Sometimes,Rarely,2.4713889608048554,0.2787,0.0289,0.1768,0.0117,43.4,3.42,53.18,0.0,0.74,0.26,-0.7296
Often,Often,Always,Never,Never,3.475619937914873,0.3502,0.0163,0.1705,0.0183,0.0,62.62,37.38,0.0,0.86,0.14,-0.4002
Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,2.2824389865553187,0.2525,0.0208,0.1497,0.0133,23.94,37.79,38.27,0.0,0.85,0.15,-0.4273
Never,Never,Never,Always,Always,0.12154823878734744,0.2989,0.0228,0.0728,0.0154,47.91,48.15,3.94,0.0,0.98,0.02,-0.0494
Sometimes,Often,Sometimes,Never,Rarely,3.723794782027911,0.2963,0.0216,0.1866,0.0103,14.39,15.23,70.38,0.0,0.91,0.09,-0.2685
Sometimes,Often,Often,Rarely,Sometimes,2.7581070041262445,0.2861,0.0263,0.0981,0.0145,0.24,56.11,43.65,0.0,0.69,0.31,-0.8835
Often,Often,Often,Rarely,Rarely,2.706053543108986,0.2919,0.022,0.1398,0.017,26.21,38.66,35.12,0.08,0.92,0.0,0.241
Sometimes,Never,Never,Often,Sometimes,0.8627006095908687,0.3019,0.013,0.1435,0.016,51.16,41.62,7.22,0.08,0.92,0.0,0.2234
Often,Often,Often,Rarely,Rarely,2.635541880930629,0.2712,0.0174,0.1036,0.019,0.0,62.27,37.73,0.03,0.97,0.0,0.0878
Rarely,Sometimes,Sometimes,Often,Often,1.575457622616634,0.3071,0.0292,0.1128,0.0141,18.65,81.35,0.0,0.16,0.84,0.0,0.445
Always,Sometimes,Rarely,Sometimes,Rarely,2.6049319081659683,0.2712,0.0263,0.1434,0.0194,24.96,55.73,19.31,0.0,0.87,0.13,-0.3776
Rarely,Never,Never,Sometimes,Often,0.4263721212319629,0.3231,0.0157,0.1562,0.0167,16.67,76.96,6.37,0.18,0.82,0.0,0.5185
Often,Sometimes,Often,Rarely,Rarely,2.631381218412144,0.3194,0.0125,0.1313,0.0158,11.83,60.27,27.9,0.0,0.92,0.08,-0.2373
Always,Often,Always,Never,Never,3.9976549030826662,0.3169,0.0146,0.1077,0.0132,0.0,41.09,58.91,0.0,0.68,0.32,-0.9191
Rarely,Rarely,Never,Always,Sometimes,0.1928481554422241,0.3717,0.0105,0.106,0.0106,40.06,59.94,0.0,0.35,0.65,0.0,1.0
Often,Always,Always,Never,Never,3.908696736885269,0.2384,0.0257,0.1719,0.0141,5.27,26.81,67.92,0.0,0.69,0.31,-0.8887
Often,Sometimes,Rarely,Often,Sometimes,1.6276318428914824,0.3318,0.0154,0.1131,0.011,45.62,43.83,10.55,0.12,0.88,0.0,0.3505
Often,Always,Always,Rarely,Never,3.4830138013490366,0.2995,0.0284,0.1675,0.0136,18.18,75.95,5.87,0.0,0.74,0.26,-0.7392
Often,Always,Often,Rarely,Rarely,3.129541936233094,0.2376,0.0243,0.2214,0.0105,25.38,35.48,39.14,0.0,0.72,0.28,-0.8114
Often,Often,Sometimes,Sometimes,Rarely,2.268065043946671,0.2864,0.0226,0.1402,0.0166,27.0,55.2,17.81,0.0,0.9,0.1,-0.2902
Often,Sometimes,Always,Rarely,Rarely,2.953796837005306,0.277,0.0234,0.1453,0.0147,15.87,33.89,50.23,0.0,0.73,0.27,-0.7758
Always,Often,Often,Rarely,Rarely,3.5140622452053916,0.3286,0.0184,0.1273,0.0148,9.92,22.75,67.33,0.0,0.92,0.08,-0.2151
Sometimes,Sometimes,Rarely,Sometimes,Sometimes,1.616561286604132,0.312,0.0156,0.1031,0.0166,41.9,35.82,22.28,0.0,0.93,0.07,-0.1886
Sometimes,Sometimes,Sometimes,Often,Sometimes,1.3081326462529548,0.3135,0.0232,0.1169,0.0123,17.78,73.62,8.6,0.05,0.95,0.0,0.1475
Often,Often,Sometimes,Rarely,Sometimes,2.670373542254339,0.2749,0.0143,0.1514,0.0176,15.57,84.43,0.0,0.15,0.85,0.0,0.4321
Often,Often,Always,Never,Never,3.2313837677650343,0.2666,0.022,0.137,0.0197,26.87,7.69,65.44,0.0,0.76,0.24,-0.6829
Often,Always,Always,Rarely,Sometimes,3.049140539106463,0.3456,0.0232,0.1357,0.0101,14.07,26.64,59.28,0.0,0.71,0.29,-0.8243
Always,Often,Always,Rarely,Rarely,3.191254595434538,0.2947,0.017,0.1153,0.0124,4.31,36.5,59.2,0.0,0.65,0.35,-1.0
Rarely,Often,Sometimes,Often,Sometimes,1.742333259251732,0.3603,0.0134,0.0675,0.0137,52.56,35.24,12.19,0.0,1.0,0.0,0.0047
Always,Always,Always,Never,Rarely,3.2713368647000864,0.3163,0.017,0.144,0.0142,0.0,44.05,55.95,0.0,0.83,0.17,-0.4917
Rarely,Sometimes,Never,Always,Always,0.48083622148243377,0.2656,0.0118,0.0968,0.0158,23.15,57.05,19.8,0.35,0.65,0.0,1.0
Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,2.177956391843398,0.3233,0.0112,0.126,0.0162,19.02,54.9,26.08,0.0,0.79,0.21,-0.5945
Never,Never,Never,Always,Always,0.023034641992486282,0.2818,0.0256,0.1134,0.0139,14.42,63.83,21.74,0.1,0.9,0.0,0.2966
Rarely,Rarely,Sometimes,Often,Sometimes,1.2983433196010812,0.2893,0.0183,0.1045,0.0166,24.12,75.88,0.0,0.08,0.92,0.0,0.2256
Rarely,Rarely,Sometimes,Often,Often,1.4658461394855915,0.2591,0.024,0.1385,0.0108,45.41,29.13,25.46,0.15,0.85,0.0,0.4184
Sometimes,Sometimes,Rarely,Sometimes,Often,1.5846907664370216,0.3211,0.023,0.1261,0.0163,16.4,47.15,36.45,0.29,0.71,0.0,0.8415
Often,Often,Often,Rarely,Sometimes,2.7818688267594487,0.3458,0.0193,0.1497,0.0191,0.0,88.86,11.14,0.0,0.92,0.08,-0.2361
Often,Rarely,Rarely,Sometimes,Sometimes,1.554232405081383,0.3294,0.0168,0.1069,0.0139,2.79,65.3,31.91,0.0,0.82,0.18,-0.5145
Sometimes,Sometimes,Often,Often,Often,1.7947744904901226,0.3181,0.0264,0.0893,0.0119,23.85,45.43,30.73,0.13,0.87,0.0,0.3687
Never,Never,Never,Often,Sometimes,0.9501765234973099,0.2959,0.0117,0.1487,0.0171,16.09,79.09,4.82,0.17,0.83,0.0,0.4748
Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,1.4930071665173603,0.2815,0.0225,0.1319,0.0108,19.79,69.52,10.69,0.01,0.99,0.0,0.0362
Never,Rarely,Rarely,Often,Always,0.9090785090526059,0.3139,0.0126,0.0622,0.0141,26.97,60.79,12.24,0.23,0.77,0.0,0.6432
Never,Never,Never,Often,Often,0.29278369507377455,0.3442,0.0241,0.1699,0.0196,47.65,30.41,21.94,0.35,0.65,0.0,1.0
Often,Sometimes,Sometimes,Rarely,Rarely,2.4137943735255116,0.3046,0.0272,0.1531,0.0173,21.79,50.3,27.91,0.0,0.95,0.05,-0.1536
Sometimes,Sometimes,Often,Rarely,Rarely,2.672851194220065,0.2894,0.028,0.1208,0.0175,21.08,61.02,17.9,0.0,0.9,0.1,-0.2761
Often,Often,Sometimes,Rarely,Often,2.477961384038458,0.2894,0.0159,0.1221,0.0133,24.71,21.97,53.32,0.0,0.85,0.15,-0.4209
Often,Rarely,Sometimes,Sometimes,Rarely,1.8539761752022894,0.2944,0.0245,0.0911,0.0175,11.78,36.96,51.26,0.08,0.92,0.0,0.232
Rarely,Rarely,Sometimes,Often,Sometimes,1.5191431207169193,0.3138,0.0193,0.0967,0.0141,22.41,63.3,14.3,0.0,0.89,0.11,-0.3032
Always,Often,Always,Never,Never,3.453334598287301,0.2399,0.0261,0.1288,0.0144,39.37,11.02,49.61,0.02,0.98,0.0,0.0606
Often,Sometimes,Sometimes,Rarely,Sometimes,2.076327140544872,0.3077,0.0111,0.1967,0.0124,1.11,72.1,26.79,0.0,0.73,0.27,-0.7582
Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,1.9167275105189239,0.3288,0.0267,0.126,0.0146,6.16,93.84,0.0,0.0,0.94,0.06,-0.1833
Never,Never,Never,Always,Always,0.10256826322574275,0.3984,0.0288,0.1874,0.0198,40.33,53.67,6.0,0.35,0.65,0.0,1.0
Rarely,Sometimes,Rarely,Sometimes,Often,1.3649913105046254,0.281,0.0287,0.1158,0.0166,4.31,50.55,45.14,0.27,0.73,0.0,0.7751
Sometimes,Sometimes,Rarely,Often,Often,1.5207824751434282,0.3572,0.0191,0.0423,0.0146,16.4,78.86,4.74,0.09,0.91,0.0,0.2635
Often,Sometimes,Sometimes,Often,Sometimes,1.595291123587602,0.3479,0.0179,0.0998,0.018,26.66,50.22,23.13,0.0,0.91,0.09,-0.2467
Often,Sometimes,Often,Rarely,Rarely,2.320689476909329,0.2664,0.0193,0.1321,0.015,38.37,10.31,51.31,0.0,0.65,0.35,-1.0
Often,Often,Sometimes,Sometimes,Sometimes,2.134410186907514,0.2726,0.016,0.1411,0.0139,15.42,44.88,39.7,0.0,0.96,0.04,-0.1026
Rarely,Often,Sometimes,Sometimes,Often,2.4316203711737785,0.2793,0.0102,0.1063,0.0161,13.83,55.36,30.81,0.2,0.8,0.0,0.5716
Always,Often,Always,Rarely,Rarely,3.059533046168513,0.285,0.0143,0.0878,0.015,26.26,28.05,45.69,0.0,0.84,0.16,-0.4431
Often,Often,Often,Rarely,Rarely,3.251942954864374,0.2683,0.0199,0.1005,0.0125,0.0,61.4,38.6,0.0,0.9,0.1,-0.2846
Often,Sometimes,Always,Rarely,Rarely,2.8724923049059776,0.292,0.025,0.0696,0.016,25.4,52.07,22.53,0.0,0.84,0.16,-0.4654
Often,Always,Always,Never,Rarely,3.8220947838197388,0.2493,0.0284,0.1254,0.0108,0.0,64.23,35.77,0.0,0.65,0.35,-1.0
Never,Rarely,Never,Always,Always,0.07293033070544652,0.2889,0.0241,0.1553,0.017,42.24,43.38,14.38,0.14,0.86,0.0,0.3917
Rarely,Never,Rarely,Always,Often,0.7831119427341844,0.3382,0.0277,0.1513,0.0134,23.09,76.91,0.0,0.18,0.82,0.0,0.5022
Never,Rarely,Rarely,Always,Always,0.03025149991256848,0.2891,0.0212,0.0912,0.0119,33.98,45.44,20.58,0.28,0.72,0.0,0.8084
Often,Often,Often,Sometimes,Rarely,2.589898856618412,0.2785,0.0242,0.1373,0.0173,0.0,62.92,37.08,0.0,0.67,0.33,-0.9553
Always,Often,Always,Never,Never,3.5921221957999476,0.2795,0.0157,0.1614,0.0159,4.69,30.1,65.21,0.0,0.87,0.13,-0.3703
Rarely,Never,Rarely,Often,Often,0.9739291863051971,0.3551,0.0284,0.1339,0.0105,44.36,55.64,0.0,0.16,0.84,0.0,0.4593
Always,Always,Often,Never,Rarely,3.7081381791852266,0.2845,0.0282,0.1059,0.0153,0.0,66.93,33.07,0.0,0.65,0.35,-1.0
Never,Never,Rarely,Always,Often,0.2410695611582434,0.3336,0.0222,0.1099,0.0152,35.4,64.6,0.0,0.27,0.73,0.0,0.7823
Always,Always,Always,Never,Never,3.737744107222057,0.2431,0.0232,0.1487,0.0163,0.0,65.36,34.64,0.0,0.76,0.24,-0.6946
Rarely,Rarely,Sometimes,Sometimes,Often,1.4064907489585377,0.2763,0.0229,0.1145,0.0187,19.51,56.82,23.68,0.17,0.83,0.0,0.4724
Rarely,Rarely,Never,Always,Often,0.40568331379686606,0.3398,0.0134,0.1016,0.0179,26.11,62.04,11.86,0.35,0.65,0.0,1.0
Always,Often,Sometimes,Sometimes,Sometimes,1.9434870367453025,0.2942,0.0122,0.1624,0.0166,6.7,83.96,9.34,0.08,0.92,0.0,0.2398
